studentID,t_info,t_grade,t_atd,t_csp
11069,-1,45,-1,-1
11070,-1,45,1,-1
11072,-1,45,1,-1
11073,-1,45,2,-1
11074,-1,45,1,-1
11075,-1,45,10,-1
11076,-1,45,1,-1
11077,-1,45,-1,-1
11078,-1,45,2,-1
11079,-1,45,4,-1
11080,-1,45,5,-1
11081,-1,45,1,-1
11082,-1,45,1,-1
11083,-1,45,1,-1
11084,-1,45,-1,-1
11085,-1,45,1,-1
11087,-1,45,-1,-1
11088,-1,45,-1,-1
11089,-1,45,9,-1
11090,-1,45,-1,-1
11091,-1,45,1,-1
11093,-1,45,1,-1
11094,-1,45,1,-1
11095,-1,45,-1,-1
11096,-1,45,4,-1
11097,-1,45,13,-1
11098,-1,45,2,-1
11099,-1,45,3,-1
11100,-1,45,14,-1
11101,-1,45,8,-1
11102,-1,45,1,-1
11103,-1,45,3,-1
11104,-1,45,17,-1
11105,-1,45,3,-1
11106,-1,45,-1,-1
11107,-1,45,5,-1
11108,-1,45,-1,-1
11109,-1,45,-1,-1
11110,-1,45,6,-1
11111,-1,45,-1,-1
11112,-1,45,5,-1
11113,-1,45,2,-1
11114,-1,45,7,-1
11115,-1,45,1,-1
11116,-1,45,14,-1
11117,-1,45,-1,-1
11118,-1,45,2,-1
11119,-1,45,-1,-1
11120,-1,45,-1,-1
11121,-1,45,-1,-1
11122,-1,45,1,-1
11123,-1,45,1,-1
11124,-1,45,1,-1
11125,-1,45,11,-1
11126,-1,45,16,-1
11127,-1,45,1,-1
11128,-1,45,1,-1
11129,-1,45,1,-1
11130,-1,45,1,-1
11131,-1,45,-1,-1
11132,-1,45,-1,-1
11134,-1,45,-1,-1
11135,-1,45,1,-1
11136,-1,45,3,-1
11137,-1,45,-1,-1
11138,-1,45,19,-1
11139,-1,45,1,-1
11140,-1,45,1,-1
11141,-1,45,16,-1
11142,-1,46,3,-1
11143,-1,46,6,-1
11144,-1,44,2,-1
11145,-1,46,4,-1
11146,-1,46,1,-1
11147,-1,44,3,-1
11148,-1,46,4,-1
11149,-1,46,-1,-1
11150,-1,44,-1,-1
11151,-1,46,5,-1
11153,-1,46,3,-1
11154,-1,46,10,-1
11155,-1,44,1,-1
11156,-1,44,3,-1
11157,-1,44,6,-1
11158,-1,44,2,-1
11159,-1,46,4,-1
11160,-1,44,3,-1
11161,-1,46,2,-1
11163,-1,46,-1,-1
11164,-1,44,-1,-1
11165,-1,44,6,-1
11166,-1,46,3,-1
11167,-1,46,1,-1
11168,-1,46,-1,-1
11169,-1,46,-1,-1
11170,-1,46,-1,-1
11171,-1,46,2,-1
11172,-1,46,-1,-1
11173,-1,46,2,-1
11174,-1,46,2,-1
11175,-1,46,1,-1
11176,-1,46,-1,-1
11179,-1,44,4,-1
11180,-1,44,1,-1
11181,-1,45,1,-1
11182,-1,45,-1,-1
11183,-1,44,1,-1
11184,-1,46,-1,-1
11185,-1,44,-1,-1
11186,-1,44,4,-1
11187,-1,46,7,-1
11188,-1,44,3,-1
11189,-1,46,4,-1
11190,-1,45,5,-1
11191,-1,46,2,-1
11192,-1,44,2,-1
11193,-1,44,3,-1
11194,-1,44,2,-1
11196,-1,44,16,-1
11197,-1,46,-1,-1
11198,-1,46,8,-1
11199,-1,44,5,-1
11200,-1,45,-1,-1
11201,-1,44,2,-1
11202,-1,44,2,-1
11203,-1,46,-1,-1
11204,-1,46,1,-1
11205,-1,46,1,-1
11206,-1,44,-1,-1
11207,-1,45,4,-1
11208,-1,45,1,-1
11209,-1,46,-1,-1
11210,-1,46,1,-1
11211,-1,45,3,-1
11212,-1,45,-1,-1
11213,-1,46,-1,-1
11214,-1,46,-1,-1
11215,-1,44,22,-1
11216,-1,46,1,-1
11219,-1,44,6,-1
11220,-1,44,4,-1
11221,-1,45,4,-1
11222,-1,45,-1,-1
11223,-1,45,2,-1
11224,-1,44,1,-1
11225,-1,45,5,-1
11226,-1,45,-1,-1
11227,-1,44,1,-1
11228,-1,44,17,-1
11229,-1,44,2,-1
11230,-1,45,-1,-1
11232,-1,45,2,-1
11233,-1,45,3,-1
11234,-1,45,2,-1
11235,-1,45,-1,-1
11236,-1,45,-1,-1
11237,-1,45,5,-1
11238,-1,44,3,-1
11239,-1,45,4,-1
11240,-1,44,-1,-1
11241,-1,45,5,-1
11242,-1,45,-1,-1
11243,-1,45,3,-1
11244,-1,45,1,-1
11245,-1,45,-1,-1
11246,-1,45,-1,-1
11247,-1,45,-1,-1
11248,-1,44,3,-1
11249,-1,45,3,-1
11250,-1,45,-1,-1
11251,-1,45,4,-1
11252,-1,45,1,-1
11253,-1,45,-1,-1
11254,-1,45,-1,-1
11255,-1,45,-1,-1
11256,-1,45,-1,-1
11257,-1,45,1,-1
11259,-1,44,21,-1
11260,-1,44,-1,-1
11262,-1,44,3,-1
11263,-1,44,-1,-1
11265,-1,44,-1,-1
11266,-1,44,-1,-1
11267,-1,44,1,-1
11268,-1,44,-1,-1
11269,-1,44,-1,-1
11270,-1,44,1,-1
11271,-1,44,14,-1
11272,-1,44,-1,-1
11273,-1,44,17,-1
11274,-1,44,-1,-1
11275,-1,44,1,-1
11276,-1,44,2,-1
11277,-1,44,6,-1
11278,-1,44,7,-1
11279,-1,44,-1,-1
11280,-1,44,1,-1
11281,-1,44,-1,-1
11282,-1,44,-1,-1
11284,-1,44,-1,-1
11285,-1,44,5,-1
11286,-1,44,-1,-1
11288,-1,44,2,-1
11289,-1,44,-1,-1
11290,-1,44,1,-1
11291,-1,44,-1,-1
11292,-1,44,16,-1
11293,-1,44,13,-1
11294,-1,44,-1,-1
11295,-1,44,13,-1
11297,-1,44,1,-1
11298,-1,44,-1,-1
11300,-1,44,-1,-1
11301,-1,44,-1,-1
11302,-1,44,-1,-1
11304,-1,44,-1,-1
11305,-1,44,3,-1
11306,-1,44,2,-1
11307,-1,44,-1,-1
11308,-1,44,-1,-1
11309,-1,44,1,-1
11310,-1,44,2,-1
11311,-1,44,2,-1
11312,-1,44,-1,-1
11313,-1,44,19,-1
11314,-1,44,-1,-1
11315,-1,44,1,-1
11316,-1,44,2,-1
11317,-1,44,-1,-1
11318,-1,44,-1,-1
11319,-1,44,-1,-1
11320,-1,44,13,-1
11321,-1,44,5,-1
11322,-1,44,-1,-1
11324,-1,44,-1,-1
11325,-1,44,-1,-1
11326,-1,44,-1,-1
11327,-1,44,2,-1
11328,-1,44,-1,-1
11329,-1,44,2,-1
11330,-1,44,27,-1
11331,-1,44,-1,-1
11332,-1,44,-1,-1
11333,-1,44,-1,-1
11334,-1,44,-1,-1
11335,-1,44,-1,-1
11336,-1,44,1,-1
11337,-1,44,-1,-1
11338,-1,44,1,-1
11339,-1,44,-1,-1
11340,-1,44,4,-1
11341,-1,44,19,-1
11342,-1,44,-1,-1
11343,-1,44,-1,-1
11345,-1,44,-1,-1
11346,-1,44,-1,-1
11347,-1,44,2,-1
11348,-1,44,-1,-1
11349,-1,44,-1,-1
11350,-1,45,7,-1
11352,-1,98,-1,-1
11353,-1,98,2,-1
11354,-1,98,4,-1
11355,-1,98,7,-1
11356,-1,98,3,-1
11357,-1,98,2,-1
11358,-1,98,2,-1
11359,-1,98,4,-1
11360,-1,98,3,-1
11361,-1,98,-1,-1
11362,-1,98,3,-1
11363,-1,98,2,-1
11364,-1,98,31,-1
11365,-1,98,8,-1
11366,-1,98,3,-1
11367,-1,98,27,-1
11368,-1,97,2,-1
11369,-1,98,-1,-1
11371,-1,98,-1,-1
11372,-1,98,-1,-1
11373,-1,98,2,-1
11374,-1,98,7,-1
11375,-1,98,-1,-1
11376,-1,98,4,-1
11377,-1,98,1,-1
11378,-1,36,-1,-1
11379,-1,98,5,-1
11380,-1,98,2,-1
11381,-1,98,3,-1
11382,-1,98,-1,-1
11383,-1,98,23,-1
11384,-1,98,-1,-1
11385,-1,98,8,-1
11386,-1,98,17,-1
11387,-1,98,12,-1
11388,-1,98,-1,-1
11389,-1,98,10,-1
11390,-1,98,-1,-1
11391,-1,98,-1,-1
11392,-1,98,-1,-1
11393,-1,98,3,-1
11394,-1,98,1,-1
11395,-1,98,4,-1
11396,-1,98,5,-1
11397,-1,98,6,-1
11398,-1,98,7,-1
11399,-1,98,27,-1
11400,-1,98,10,-1
11401,-1,98,24,-1
11402,-1,98,2,-1
11403,-1,98,5,-1
11404,-1,98,3,-1
11405,-1,97,9,-1
11406,-1,98,16,-1
11407,-1,98,2,-1
11408,-1,98,9,-1
11409,-1,98,5,-1
11410,-1,98,5,-1
11411,-1,98,6,-1
11412,-1,98,10,-1
11413,-1,98,9,-1
11414,-1,98,1,-1
11415,-1,98,-1,-1
11416,-1,98,16,-1
11417,-1,98,10,-1
11418,-1,98,1,-1
11419,-1,98,-1,-1
11420,-1,98,2,-1
11421,-1,98,1,-1
11422,-1,98,1,-1
11423,-1,98,-1,-1
11424,-1,98,1,-1
11425,-1,98,2,-1
11426,-1,98,-1,-1
11427,-1,98,1,-1
11428,-1,98,2,-1
11429,-1,98,2,-1
11430,-1,98,1,-1
11431,-1,98,1,-1
11432,-1,98,1,-1
11433,-1,98,5,-1
11434,-1,98,15,-1
11435,-1,98,-1,-1
11436,-1,98,5,-1
11437,-1,98,4,-1
11438,-1,98,3,-1
11439,-1,96,-1,-1
11440,-1,98,7,-1
11441,-1,98,10,-1
11442,-1,98,10,-1
11443,-1,98,5,-1
11444,-1,98,26,-1
11445,-1,98,12,-1
11446,-1,98,-1,-1
11447,-1,98,5,-1
11448,-1,98,7,-1
11449,-1,98,9,-1
11450,-1,97,4,-1
11451,-1,98,21,-1
11452,-1,98,7,-1
11453,-1,98,1,-1
11454,-1,98,4,-1
11455,-1,98,3,-1
11456,-1,98,-1,-1
11457,-1,98,7,-1
11458,-1,98,12,-1
11459,-1,98,-1,-1
11460,-1,98,12,-1
11461,-1,98,3,-1
11462,-1,98,4,-1
11463,-1,98,2,-1
11464,-1,98,3,-1
11465,-1,98,24,-1
11466,-1,98,2,-1
11467,-1,98,3,-1
11468,-1,98,10,-1
11469,-1,98,8,-1
11470,-1,98,4,-1
11471,-1,98,1,-1
11472,-1,98,20,-1
11473,-1,98,7,-1
11474,-1,98,1,-1
11475,-1,98,13,-1
11476,-1,98,8,-1
11477,-1,98,-1,-1
11478,-1,98,6,-1
11479,-1,98,-1,-1
11480,-1,98,4,-1
11481,-1,98,3,-1
11482,-1,98,5,-1
11483,-1,98,3,-1
11484,-1,98,21,-1
11485,-1,98,2,-1
11486,-1,98,3,-1
11487,-1,98,5,-1
11488,-1,98,1,-1
11489,-1,98,3,-1
11490,-1,98,17,-1
11491,-1,97,11,-1
11492,-1,97,11,-1
11493,-1,98,9,-1
11494,-1,98,-1,-1
11495,-1,98,30,-1
11496,-1,97,12,-1
11497,-1,98,12,-1
11498,-1,98,-1,-1
11499,-1,98,3,-1
11500,-1,98,7,-1
11501,-1,98,3,-1
11502,-1,97,3,-1
11503,-1,98,1,-1
11504,-1,98,2,-1
11505,-1,98,2,-1
11506,-1,98,2,-1
11507,-1,98,1,-1
11508,-1,98,-1,-1
11509,-1,98,-1,-1
11510,-1,98,1,-1
11511,-1,98,28,-1
11512,-1,98,-1,-1
11513,-1,98,-1,-1
11514,-1,98,1,-1
11515,-1,98,-1,-1
11516,-1,98,1,-1
11517,-1,98,8,-1
11518,-1,98,1,-1
11519,-1,98,-1,-1
11520,-1,98,-1,-1
11521,-1,98,-1,-1
11522,-1,98,3,-1
11523,-1,98,5,-1
11524,-1,98,4,-1
11525,-1,98,-1,-1
11526,-1,98,14,-1
11527,-1,98,1,-1
11528,-1,98,9,-1
11529,-1,98,3,-1
11530,-1,98,3,-1
11531,-1,98,6,-1
11532,-1,98,2,-1
11534,-1,98,5,-1
11535,-1,98,41,-1
11536,-1,98,5,-1
11537,-1,98,3,-1
11538,-1,98,1,-1
11539,-1,98,4,-1
11540,-1,98,-1,-1
11541,-1,98,-1,-1
11542,-1,98,2,-1
11543,-1,98,2,-1
11544,-1,98,2,-1
11545,-1,98,5,-1
11546,-1,98,2,-1
11547,-1,98,1,-1
11548,-1,98,2,-1
11549,-1,98,-1,-1
11550,-1,98,-1,-1
11551,-1,98,2,-1
11552,-1,98,1,-1
11553,-1,98,14,-1
11554,-1,98,3,-1
11555,-1,98,25,-1
11556,-1,98,-1,-1
11557,-1,98,2,-1
11558,-1,98,8,-1
11559,-1,98,-1,-1
11560,-1,97,1,-1
11561,-1,98,4,-1
11562,-1,98,-1,-1
11563,-1,98,-1,-1
11564,-1,98,1,-1
11565,-1,98,-1,-1
11566,-1,98,6,-1
11567,-1,98,4,-1
11568,-1,98,3,-1
11569,-1,98,4,-1
11570,-1,98,18,-1
11571,-1,97,-1,-1
11572,-1,98,3,-1
11573,-1,98,4,-1
11574,-1,97,7,-1
11575,-1,36,-1,-1
11576,-1,97,8,-1
11577,-1,97,20,-1
11579,-1,98,5,-1
11580,-1,98,5,-1
11581,-1,98,4,-1
11582,-1,97,8,-1
11583,-1,98,1,-1
11584,-1,95,5,-1
11585,-1,98,10,-1
11586,-1,98,7,-1
11587,-1,98,2,-1
11588,-1,98,-1,-1
11589,-1,98,14,-1
11590,-1,97,14,-1
11591,-1,98,2,-1
11592,-1,98,-1,-1
11593,-1,97,5,-1
11594,-1,98,1,-1
11595,-1,98,24,-1
11596,-1,98,1,-1
11597,-1,98,3,-1
11598,-1,98,-1,-1
11599,-1,98,3,-1
11600,-1,97,-1,-1
11601,-1,98,1,-1
11602,-1,98,25,-1
11604,-1,97,-1,-1
11605,-1,98,1,-1
11606,-1,98,1,-1
11607,-1,87,-1,-1
11608,-1,98,4,-1
11609,-1,98,-1,-1
11610,-1,98,2,-1
11611,-1,97,6,-1
11612,-1,97,13,-1
11613,-1,97,3,-1
11614,-1,98,3,-1
11615,-1,98,1,-1
11616,-1,97,2,-1
11617,-1,98,15,-1
11618,-1,98,3,-1
11619,-1,97,9,-1
11620,-1,97,5,-1
11621,-1,97,9,-1
11622,-1,98,18,-1
11623,-1,98,4,-1
11624,-1,98,2,-1
11625,-1,97,6,-1
11626,-1,97,8,-1
11627,-1,97,-1,-1
11628,-1,97,-1,-1
11629,-1,98,2,-1
11630,-1,97,1,-1
11631,-1,98,5,-1
11632,-1,98,1,-1
11633,-1,98,-1,-1
11634,-1,98,7,-1
11635,-1,98,1,-1
11636,-1,98,2,-1
11637,-1,98,1,-1
11638,-1,98,-1,-1
11639,-1,98,17,-1
11640,-1,98,-1,-1
11641,-1,98,-1,-1
11642,-1,98,-1,-1
11643,-1,98,-1,-1
11644,-1,98,5,-1
11645,-1,98,2,-1
11646,-1,98,2,-1
11647,-1,98,2,-1
11648,-1,98,1,-1
11649,-1,97,2,-1
11650,-1,98,2,-1
11651,-1,98,-1,-1
11652,-1,97,-1,-1
11653,-1,97,2,-1
11654,-1,98,11,-1
11655,-1,98,7,-1
11656,-1,97,3,-1
11657,-1,97,9,-1
11658,-1,97,4,-1
11659,-1,98,5,-1
11660,-1,98,24,-1
11661,-1,98,12,-1
11662,-1,97,2,-1
11663,-1,98,12,-1
11665,-1,98,3,-1
11666,-1,98,3,-1
11667,-1,97,1,-1
11668,-1,98,5,-1
11669,-1,98,11,-1
11670,-1,98,1,-1
11671,-1,98,3,-1
11672,-1,98,-1,-1
11673,-1,98,1,-1
11674,-1,98,11,-1
11675,-1,98,1,-1
11676,-1,98,1,-1
11677,-1,98,3,-1
11678,-1,98,1,-1
11679,-1,98,4,-1
11680,-1,98,4,-1
11681,-1,98,7,-1
11682,-1,98,2,-1
11683,-1,97,-1,-1
11684,-1,98,2,-1
11685,-1,98,6,-1
11686,-1,98,2,-1
11687,-1,98,-1,-1
11688,-1,98,3,-1
11689,-1,97,-1,-1
11690,-1,98,2,-1
11691,-1,97,1,-1
11692,-1,98,1,-1
11693,-1,97,3,-1
11694,-1,98,22,-1
11695,-1,16,-1,-1
11696,-1,98,1,-1
11697,-1,98,6,-1
11698,-1,98,1,-1
11699,-1,97,5,-1
11700,-1,97,1,-1
11701,-1,98,2,-1
11702,-1,98,-1,-1
11703,-1,97,1,-1
11704,-1,97,1,-1
11705,-1,98,2,-1
11706,-1,97,2,-1
11707,-1,97,25,-1
11708,-1,98,-1,-1
11709,-1,98,8,-1
11710,-1,98,2,-1
11711,-1,98,-1,-1
11712,-1,98,26,-1
11713,-1,98,1,-1
11714,-1,98,2,-1
11715,-1,98,2,-1
11716,-1,98,4,-1
11717,-1,98,-1,-1
11718,-1,98,1,-1
11719,-1,98,6,-1
11720,-1,98,-1,-1
11721,-1,98,3,-1
11722,-1,98,2,-1
11723,-1,98,1,-1
11724,-1,98,-1,-1
11725,-1,36,1,-1
11726,-1,98,10,-1
11727,-1,97,-1,-1
11728,-1,98,3,-1
11729,-1,98,6,-1
11730,-1,98,8,-1
11731,-1,98,33,-1
11732,-1,98,28,-1
11733,-1,98,2,-1
11734,-1,98,27,-1
11735,-1,98,5,-1
11736,-1,98,10,-1
11737,-1,98,3,-1
11738,-1,98,20,-1
11739,-1,98,22,-1
11740,-1,97,11,-1
11741,-1,98,19,-1
11742,-1,98,21,-1
11743,-1,98,-1,-1
11744,-1,98,-1,-1
11745,-1,98,3,-1
11746,-1,97,3,-1
11747,-1,98,3,-1
11748,-1,98,1,-1
11749,-1,98,33,-1
11750,-1,98,1,-1
11751,-1,98,1,-1
11752,-1,98,-1,-1
11753,-1,98,-1,-1
11754,-1,36,17,-1
11755,-1,96,1,-1
11756,-1,98,-1,-1
11757,-1,98,4,-1
11758,-1,98,13,-1
11759,-1,98,4,-1
11760,-1,98,5,-1
11761,-1,98,2,-1
11762,-1,97,7,-1
11763,-1,98,-1,-1
11764,-1,98,3,-1
11765,-1,98,1,-1
11766,-1,98,22,-1
11767,-1,98,1,-1
11768,-1,98,3,-1
11769,-1,98,25,-1
11770,-1,98,3,-1
11771,-1,97,16,-1
11772,-1,98,-1,-1
11773,-1,98,16,-1
11774,-1,98,18,-1
11775,-1,98,2,-1
11776,-1,98,-1,-1
11777,-1,98,5,-1
11778,-1,98,3,-1
11779,-1,97,32,-1
11780,-1,98,2,-1
11781,-1,97,1,-1
11782,-1,98,5,-1
11783,-1,98,4,-1
11784,-1,98,-1,-1
11785,-1,98,6,-1
11786,-1,98,4,-1
11787,-1,98,2,-1
11788,-1,98,6,-1
11789,-1,98,1,-1
11790,-1,98,3,-1
11791,-1,98,1,-1
11792,-1,98,1,-1
11793,-1,98,2,-1
11794,-1,98,10,-1
11795,-1,98,-1,-1
11796,-1,98,-1,-1
11797,-1,98,1,-1
11798,-1,98,9,-1
11799,-1,98,10,-1
11800,-1,98,1,-1
11801,-1,98,1,-1
11802,-1,98,12,-1
11803,-1,98,5,-1
11804,-1,98,-1,-1
11805,-1,98,7,-1
11806,-1,97,1,-1
11807,-1,98,1,-1
11808,-1,98,-1,-1
11809,-1,98,4,-1
11810,-1,98,-1,-1
11811,-1,98,1,-1
11812,-1,97,3,-1
11813,-1,44,1,-1
11814,-1,45,1,-1
11815,-1,45,1,-1
11817,-1,45,-1,-1
11818,-1,-1,24,-1
11819,-1,-1,10,-1
11820,-1,-1,2,-1
11821,-1,-1,2,-1
11822,-1,-1,2,-1
11823,-1,-1,17,-1
11824,-1,-1,2,-1
11825,-1,-1,26,-1
11826,-1,-1,13,-1
11829,-1,-1,4,-1
11830,-1,-1,18,-1
11831,-1,-1,25,-1
11832,-1,-1,6,-1
11833,-1,-1,21,-1
11834,-1,-1,16,-1
11835,-1,-1,6,-1
11836,-1,-1,5,-1
11837,-1,-1,21,-1
11838,-1,-1,11,-1
11840,-1,-1,21,-1
11841,-1,-1,6,-1
11842,-1,-1,16,-1
11843,-1,-1,1,-1
11844,-1,-1,7,-1
11845,-1,-1,9,-1
11846,-1,-1,1,-1
11847,-1,-1,6,-1
11848,-1,-1,32,-1
11849,-1,-1,2,-1
11850,-1,-1,12,-1
11851,-1,-1,3,-1
11852,-1,-1,47,-1
11853,-1,-1,6,-1
11854,-1,-1,21,-1
11855,-1,-1,1,-1
11857,-1,-1,10,-1
11858,-1,-1,26,-1
11859,-1,-1,16,-1
11860,-1,-1,5,-1
11861,-1,-1,8,-1
11864,-1,-1,4,-1
11865,-1,-1,8,-1
11866,-1,-1,1,-1
11867,-1,-1,23,-1
11869,-1,-1,15,-1
11870,-1,-1,21,-1
11871,-1,-1,7,-1
11872,-1,-1,3,-1
11873,-1,-1,24,-1
11874,-1,-1,12,-1
11876,-1,150,1,-1
11877,-1,152,47,-1
11878,-1,150,15,-1
11879,-1,152,-1,-1
11880,-1,150,11,-1
11881,-1,152,41,-1
11882,-1,152,6,-1
11883,-1,150,15,-1
11884,-1,147,2,-1
11885,-1,150,17,-1
11886,-1,149,10,-1
11887,-1,152,32,-1
11888,-1,152,27,-1
11889,-1,150,19,-1
11890,-1,152,3,-1
11891,-1,152,30,-1
11893,-1,152,16,-1
11894,-1,152,1,-1
11895,-1,152,28,-1
11897,-1,152,7,-1
11898,-1,152,35,-1
11899,-1,152,8,-1
11900,-1,152,21,-1
11901,-1,150,2,-1
11902,-1,150,20,-1
11903,-1,152,6,-1
11904,-1,152,9,-1
11905,-1,152,4,-1
11906,-1,-1,178,-1
11908,-1,151,5,-1
11909,-1,150,5,-1
11910,-1,156,29,-1
11911,-1,156,-1,-1
11912,-1,145,3,-1
11913,-1,151,17,-1
11914,-1,150,15,-1
11915,-1,92,47,-1
11916,-1,151,10,-1
11917,-1,151,3,-1
11918,-1,155,1,-1
11919,-1,151,14,-1
11920,-1,151,-1,-1
11921,-1,150,-1,-1
11922,-1,151,2,-1
11923,-1,150,52,-1
11924,-1,151,6,-1
11925,-1,150,2,-1
11926,-1,151,1,-1
11927,-1,156,-1,-1
11928,-1,151,3,-1
11929,-1,151,6,-1
11930,-1,151,3,-1
11931,-1,151,4,-1
11932,-1,151,11,-1
11933,-1,150,-1,-1
11934,-1,151,-1,-1
11935,-1,150,14,-1
11936,-1,150,1,-1
11937,-1,150,4,-1
11938,-1,156,3,-1
11939,-1,151,14,-1
11940,-1,150,5,-1
